date,bigtech_index
07/30/2013,1633.62
07/31/2013,1651.34
08/01/2013,1660.98
08/02/2013,1686.14
08/05/2013,1689.79
08/06/2013,1688.57
08/07/2013,1679.89
08/08/2013,1675.58
08/09/2013,1685.13
08/12/2013,1682.21
08/13/2013,1689.25
08/14/2013,1697.98
08/15/2013,1688.3
08/16/2013,1652.43
08/19/2013,1650.8
08/20/2013,1643.23
08/21/2013,1649.53
08/22/2013,1646.5
08/23/2013,1663.66
08/26/2013,1672.96
08/27/2013,1667.07
08/28/2013,1631.12
08/29/2013,1640.91
08/30/2013,1653.04
09/02/2013,0
09/03/2013,1643.54
09/04/2013,1658.46
09/05/2013,1679.26
09/06/2013,1684.75
09/09/2013,1686.36
09/10/2013,1704.74
09/11/2013,1724.46
09/12/2013,1731.44
09/13/2013,1723.55
09/16/2013,1725.88
09/17/2013,1728.25
09/18/2013,1743.35
09/19/2013,1758.22
09/20/2013,1762.43
09/23/2013,1755.43
09/24/2013,1745.2
09/25/2013,1749.91
09/26/2013,1754.32
09/27/2013,1759.83
09/30/2013,1754.56
10/01/2013,1750.28
10/02/2013,1765.98
10/03/2013,1766.08
10/04/2013,1748.5
10/07/2013,1769.73
10/08/2013,1758.37
10/09/2013,1725.54
10/10/2013,1719.49
10/11/2013,1746.37
10/14/2013,1749.84
10/15/2013,1769.23
10/16/2013,1761.84
10/17/2013,1760.13
10/18/2013,1785.86
10/21/2013,1805.57
10/22/2013,1808.03
10/23/2013,1779.01
10/24/2013,1764.34
10/25/2013,1778.58
10/28/2013,1767.64
10/29/2013,1780.7
10/30/2013,1795.75
10/31/2013,1778.35
11/01/2013,1781.74
11/04/2013,1779.16
11/05/2013,1773.08
11/06/2013,1783.18
11/07/2013,1787.82
11/08/2013,1763.9
11/11/2013,1777.55
11/12/2013,1777.8
11/13/2013,1782.21
11/14/2013,1801.62
11/15/2013,1814.1
11/18/2013,1821.34
11/19/2013,1798.47
11/20/2013,1788.34
11/21/2013,1786.63
11/22/2013,1798.75
11/25/2013,1804.91
11/26/2013,1796.38
11/27/2013,1801.78
11/28/2013,0
11/29/2013,1813
12/02/2013,1813.84
12/03/2013,1806.41
12/04/2013,1804.22
12/05/2013,1819.44
12/06/2013,1837.49
12/09/2013,1838.33
12/10/2013,1838.01
12/11/2013,1842.71
12/12/2013,1819.17
12/13/2013,1820.42
12/16/2013,1830.21
12/17/2013,1833.2
12/18/2013,1844.06
12/19/2013,1856.41
12/20/2013,1854.02
12/23/2013,1883.08
12/24/2013,1890.74
12/25/2013,0
12/26/2013,1897.8
12/27/2013,1898.32
12/30/2013,1894.14
12/31/2013,1903.85
01/01/2014,0
01/02/2014,1897.31
01/03/2014,1887.16
01/06/2014,1885.11
01/07/2014,1883.43
01/08/2014,1903.46
01/09/2014,1914.92
01/10/2014,1906.48
01/13/2014,1907.87
01/14/2014,1886.22
01/15/2014,1925.9
01/16/2014,1943.72
01/17/2014,1933.1
01/20/2014,0
01/21/2014,1945.43
01/22/2014,1942.16
01/23/2014,1944.61
01/24/2014,1929.9
01/27/2014,1902.57
01/28/2014,1880.17
01/29/2014,1879.2
01/30/2014,1892.04
01/31/2014,1884.46
02/03/2014,1895.37
02/04/2014,1858.48
02/05/2014,1853.87
02/06/2014,1867.6
02/07/2014,1898.54
02/10/2014,1920.22
02/11/2014,1935.5
02/12/2014,1961.13
02/13/2014,1954.53
02/14/2014,1987.6
02/17/2014,0
02/18/2014,2000.02
02/19/2014,2005.09
02/20/2014,2004.08
02/21/2014,2023.53
02/24/2014,2019.92
02/25/2014,2027.53
02/26/2014,2025.03
02/27/2014,2026.36
02/28/2014,2031.44
03/03/2014,1999.39
03/04/2014,2030.83
03/05/2014,2041.87
03/06/2014,2048.78
03/07/2014,2054.07
03/10/2014,2036.91
03/11/2014,2035.82
03/12/2014,2010.66
03/13/2014,2032.01
03/14/2014,1986.87
03/17/2014,1994.8
03/18/2014,2007.46
03/19/2014,2030.33
03/20/2014,2019.85
03/21/2014,2050.08
03/24/2014,2029.11
03/25/2014,2020.75
03/26/2014,2032.31
03/27/2014,1990.01
03/28/2014,1991.25
03/31/2014,2005.36
04/01/2014,2025
04/02/2014,2054.22
04/03/2014,2051.87
04/04/2014,2047.31
04/07/2014,1970.01
04/08/2014,1959.4
04/09/2014,1992.49
04/10/2014,2007.68
04/11/2014,1924.14
04/14/2014,1938.01
04/15/2014,1946.18
04/16/2014,1966
04/17/2014,1970.01
04/18/2014,0
04/21/2014,1988.85
04/22/2014,1995.45
04/23/2014,2004.95
04/24/2014,2016.38
04/25/2014,1985.16
04/28/2014,1962.09
04/29/2014,1947.65
04/30/2014,1955.6
05/01/2014,1976.78
05/02/2014,1979.24
05/05/2014,1963.32
05/06/2014,1976.49
05/07/2014,1956.56
05/08/2014,1941.56
05/09/2014,1951.44
05/12/2014,1964.58
05/13/2014,1994.02
05/14/2014,1981.04
05/15/2014,1979.82
05/16/2014,1969.21
05/19/2014,1976.22
05/20/2014,1996.91
05/21/2014,1991.5
05/22/2014,2004.8
05/23/2014,2016.33
05/26/2014,0
05/27/2014,2040.53
05/28/2014,2056.47
05/29/2014,2055.54
05/30/2014,2062.67
06/02/2014,2065.72
06/03/2014,2055.49
06/04/2014,2055.65
06/05/2014,2069.76
06/06/2014,2095.35
06/09/2014,2105.39
06/10/2014,2101.33
06/11/2014,2106.33
06/12/2014,2106.16
06/13/2014,2116.18
06/16/2014,2111.01
06/17/2014,2119.91
06/18/2014,2137.8
06/19/2014,2144
06/20/2014,2137.58
06/23/2014,2137.75
06/24/2014,2135.43
06/25/2014,2126.19
06/26/2014,2139.97
06/27/2014,2130.52
06/30/2014,2146.78
