date,foodbev
6/28/2013,2997.18
7/1/2013,3029.35
7/2/2013,3030.06
7/3/2013,3018.39
7/5/2013,3042.61
7/8/2013,3064.78
7/9/2013,3092.65
7/10/2013,3101.23
7/11/2013,3142.01
7/12/2013,3140.62
7/15/2013,3149.95
7/16/2013,3147.48
7/17/2013,3152.88
7/18/2013,3175.5
7/19/2013,3180.31
7/22/2013,3186.09
7/23/2013,3178.26
7/24/2013,3156.73
7/25/2013,3179.14
7/26/2013,3182.36
7/29/2013,3176.67
7/30/2013,3166.67
7/31/2013,3172.29
8/1/2013,3230.59
8/2/2013,3246.02
8/5/2013,3264.79
8/6/2013,3257.27
8/7/2013,3227.07
8/8/2013,3244.77
8/9/2013,3239.19
8/12/2013,3240.6
8/13/2013,3246.57
8/14/2013,3225.25
8/15/2013,3149.18
8/16/2013,3142.01
8/19/2013,3134.9
8/20/2013,3156.91
8/21/2013,3135.99
8/22/2013,3162.18
8/23/2013,3178.62
8/26/2013,3142.76
8/27/2013,3101.02
8/28/2013,3088.1
8/29/2013,3110.73
8/30/2013,3098.13
9/3/2013,3097.97
9/4/2013,3118.12
9/5/2013,3122.41
9/6/2013,3119.43
9/9/2013,3156.58
9/10/2013,3151.71
9/11/2013,3159.84
9/12/2013,3155.38
9/13/2013,3184.56
9/16/2013,3205.62
9/17/2013,3238.78
9/18/2013,3271.15
9/19/2013,3253.38
9/20/2013,3242.47
9/23/2013,3226.32
9/24/2013,3225.26
9/25/2013,3206.55
9/26/2013,3217.47
9/27/2013,3202.46
9/30/2013,3184.54
10/1/2013,3191.83
10/2/2013,3177.32
10/3/2013,3151.41
10/4/2013,3173.81
10/7/2013,3157.72
10/8/2013,3137.73
10/9/2013,3137.05
10/10/2013,3204.09
10/11/2013,3229.77
10/14/2013,3230.46
10/15/2013,3207.49
10/16/2013,3249.57
10/17/2013,3274.09
10/18/2013,3272.7
10/21/2013,3268.44
10/22/2013,3288.07
10/23/2013,3290.12
10/24/2013,3293.21
10/25/2013,3313.05
10/28/2013,3336.54
10/29/2013,3353.54
10/30/2013,3315.05
10/31/2013,3297.97
11/1/2013,3299.21
11/4/2013,3315.74
11/5/2013,3321.27
11/6/2013,3332.06
11/7/2013,3251.54
11/8/2013,3284.31
11/11/2013,3277.61
11/12/2013,3285.29
11/13/2013,3314.79
11/14/2013,3325.78
11/15/2013,3326.06
11/18/2013,3301
11/19/2013,3284.36
11/20/2013,3265.16
11/21/2013,3311.39
11/22/2013,3320.39
11/25/2013,3300.39
11/26/2013,3326.57
11/27/2013,3340.73
11/29/2013,3328.57
12/2/2013,3315.24
12/3/2013,3321.26
12/4/2013,3329.91
12/5/2013,3315.79
12/6/2013,3362.01
12/9/2013,3375.98
12/10/2013,3334.25
12/11/2013,3312.41
12/12/2013,3283.44
12/13/2013,3282.6
12/16/2013,3298.33
12/17/2013,3295.08
12/18/2013,3338.77
12/19/2013,3331.86
12/20/2013,3348.61
12/23/2013,3355.4
12/24/2013,3364.13
12/26/2013,3371.69
12/27/2013,3370.68
12/30/2013,3381.77
12/31/2013,3384.13
1/2/2014,3343.98
1/3/2014,3349.71
1/6/2014,3325.84
1/7/2014,3366.34
1/8/2014,3349.2
1/9/2014,3346.69
1/10/2014,3349.82
1/13/2014,3325.63
1/14/2014,3369.22
1/15/2014,3369.14
1/16/2014,3370.08
1/17/2014,3338.46
1/21/2014,3351.1
1/22/2014,3354.74
1/23/2014,3333.79
1/24/2014,3279.88
1/27/2014,3268.25
1/28/2014,3294.2
1/29/2014,3236.85
1/30/2014,3268.96
1/31/2014,3258.31
2/3/2014,3177.4
2/4/2014,3189.93
2/5/2014,3180.62
2/6/2014,3233.86
2/7/2014,3247.48
2/10/2014,3262
2/11/2014,3286.68
2/12/2014,3282.63
2/13/2014,3308.05
2/14/2014,3329.61
2/18/2014,3341.25
2/19/2014,3336.71
2/20/2014,3374.02
2/21/2014,3373.01
2/24/2014,3390.61
2/25/2014,3393.08
2/26/2014,3394.7
2/27/2014,3400.99
2/28/2014,3418.78
3/3/2014,3403.57
3/4/2014,3469.38
3/5/2014,3470.71
3/6/2014,3473.57
3/7/2014,3475.18
3/10/2014,3485.68
3/11/2014,3465.34
3/12/2014,3497.45
3/13/2014,3466.22
3/14/2014,3483.89
3/17/2014,3507.43
3/18/2014,3529.45
3/19/2014,3497.64
3/20/2014,3512.27
3/21/2014,3513.54
3/24/2014,3482.72
3/25/2014,3488.61
3/26/2014,3467.43
3/27/2014,3455.45
3/28/2014,3486.96
3/31/2014,3525.75
4/1/2014,3534.5
4/2/2014,3552.51
4/3/2014,3549.05
4/4/2014,3493.24
4/7/2014,3475.88
4/8/2014,3489.83
4/9/2014,3511.63
4/10/2014,3447.11
4/11/2014,3426.54
4/14/2014,3455.74
4/15/2014,3448.56
4/16/2014,3487.82
4/17/2014,3492.87
4/21/2014,3502.83
4/22/2014,3513.03
4/23/2014,3516.96
4/24/2014,3502.86
4/25/2014,3476.69
4/28/2014,3505.08
4/29/2014,3492.96
4/30/2014,3511.41
5/1/2014,3493.1
5/2/2014,3509.47
5/5/2014,3498.33
5/6/2014,3470.74
5/7/2014,3477.02
5/8/2014,3457.4
5/9/2014,3477.53
5/12/2014,3525.5
5/13/2014,3528.01
5/14/2014,3497.68
5/15/2014,3477.74
5/16/2014,3507.03
5/19/2014,3501.02
5/20/2014,3476.39
5/21/2014,3488.87
5/22/2014,3495.99
5/23/2014,3504.67
5/27/2014,3545.05
5/28/2014,3537.39
5/29/2014,3585.02
5/30/2014,3590.18
6/2/2014,3585.71
6/3/2014,3591.9
6/4/2014,3609.52
6/5/2014,3629.07
6/6/2014,3639.13
6/9/2014,3636.06
6/10/2014,3628.45
6/11/2014,3610.03
6/12/2014,3601.42
6/13/2014,3598.38
6/16/2014,3617.29
6/17/2014,3638.26
6/18/2014,3656.96
6/19/2014,3661
6/20/2014,3660.73
6/23/2014,3642.47
6/24/2014,3622.65
6/25/2014,3626.22
6/26/2014,3623.74
6/27/2014,3646.74
6/30/2014,3663.07
7/1/2014,3680.67
7/2/2014,3682.24
7/3/2014,3693.52
7/7/2014,3677.63
7/8/2014,3649.29
7/9/2014,3655.3
7/10/2014,3642.02
7/11/2014,3654.39
7/14/2014,3664.06
7/15/2014,3635.58
7/16/2014,3624.72
7/17/2014,3588.99
7/18/2014,3630.05
7/21/2014,3607.11
7/22/2014,3626.44
7/23/2014,3614.99
7/24/2014,3631.55
7/25/2014,3613.86
7/28/2014,3594.47
7/29/2014,3577.28
7/30/2014,3547
7/31/2014,3474.11
8/1/2014,3488.65
8/4/2014,3513.47
8/5/2014,3498.81
8/6/2014,3534.1
8/7/2014,3534.71
8/8/2014,3559.26
8/11/2014,3613.16
8/12/2014,3598.81
8/13/2014,3618.51
8/14/2014,3638.6
8/15/2014,3657.74
8/18/2014,3674.7
8/19/2014,3684.41
8/20/2014,3683.27
8/21/2014,3677.8
8/22/2014,3681.3
8/25/2014,3703.41
8/26/2014,3715.9
8/27/2014,3723.85
8/28/2014,3724.82
8/29/2014,3732.25
9/2/2014,3740.71
9/3/2014,3731.85
9/4/2014,3721.96
9/5/2014,3740.86
9/8/2014,3739.61
9/9/2014,3749.09
9/10/2014,3767.81
9/11/2014,3780.24
9/12/2014,3746.72
9/15/2014,3745.35
9/16/2014,3770.13
9/17/2014,3765.71
9/18/2014,3790.67
9/19/2014,3768.45
9/22/2014,3733.2
9/23/2014,3689.71
9/24/2014,3733.93
9/25/2014,3677.66
9/26/2014,3698.64
9/29/2014,3707.19
9/30/2014,3709.01
10/1/2014,3668.74
10/2/2014,3680.6
10/3/2014,3728.76
10/6/2014,3728.08
10/7/2014,3698.93
10/8/2014,3748.92
10/9/2014,3695.41
10/10/2014,3670.81
10/13/2014,3637.24
10/14/2014,3656.99
10/15/2014,3633.36
10/16/2014,3588.64
10/17/2014,3622.48
10/20/2014,3683.51
10/21/2014,3724.39
10/22/2014,3683.78
10/23/2014,3700.79
10/24/2014,3710.78
10/27/2014,3704.46
10/28/2014,3764.38
10/29/2014,3756.74
10/30/2014,3785.83
10/31/2014,3836
11/3/2014,3832.95
11/4/2014,3843.85
11/5/2014,3863.36
11/6/2014,3898.48
11/7/2014,3899.93
11/10/2014,3927.88
11/11/2014,3911.76
11/12/2014,3919.04
11/13/2014,3923.22
11/14/2014,3913.3
11/17/2014,3944.24
11/18/2014,3956.49
11/19/2014,3960.22
11/20/2014,3951.7
11/21/2014,3962.74
11/24/2014,3962.55
11/25/2014,3961.3
11/26/2014,3989.05
11/28/2014,4014.53
12/1/2014,3986.91
12/2/2014,4003.65
12/3/2014,4001.73
12/4/2014,3987.2
12/5/2014,4003.56
12/8/2014,3987.12
12/9/2014,3987.98
12/10/2014,3947.43
12/11/2014,3992.56
12/12/2014,3926.78
12/15/2014,3894.36
12/16/2014,3880.48
12/17/2014,3967.51
12/18/2014,4035.77
12/19/2014,4040.74
12/22/2014,4074.78
12/23/2014,4086.97
12/24/2014,4086.93
12/26/2014,4095.42
12/29/2014,4095.62
12/30/2014,4078.35
12/31/2014,4031.04
1/2/2015,4004.97
1/5/2015,3961.45
1/6/2015,3937.16
1/7/2015,4011.39
1/8/2015,4068.27
1/9/2015,4029.15
1/12/2015,3995.09
1/13/2015,3987.18
1/14/2015,3982.79
1/15/2015,3989
1/16/2015,4027.71
1/20/2015,4044.55
1/21/2015,4062.99
1/22/2015,4115.47
1/23/2015,4097.67
1/26/2015,4128.8
1/27/2015,4098.11
1/28/2015,4041.46
1/29/2015,4070.25
1/30/2015,3973.3
2/2/2015,4015.61
2/3/2015,4057.25
2/4/2015,4070.11
2/5/2015,4080.02
2/6/2015,4076.61
2/9/2015,4039.44
2/10/2015,4053.01
2/11/2015,4033.28
2/12/2015,4059.33
2/13/2015,4056.18
2/17/2015,4063.6
2/18/2015,4103.91
2/19/2015,4091.46
2/20/2015,4109.81
2/23/2015,4112.18
2/24/2015,4123.25
2/25/2015,4101.54
2/26/2015,4089.13
2/27/2015,4099.91
3/2/2015,4110.25
3/3/2015,4094.09
3/4/2015,4073.21
3/5/2015,4082.28
3/6/2015,4023.68
3/9/2015,4047.57
3/10/2015,3990.72
3/11/2015,3970.45
3/12/2015,4032.24
3/13/2015,4011.02
3/16/2015,4031.94
3/17/2015,4024.58
3/18/2015,4053.53
3/19/2015,4043.49
3/20/2015,4094.77
3/23/2015,4089.89
3/24/2015,4067.12
3/25/2015,4072.62
3/26/2015,4062.96
3/27/2015,4108.11
3/30/2015,4153.13
3/31/2015,4135.09
4/1/2015,4145.32
4/2/2015,4177.74
4/6/2015,4196.16
4/7/2015,4175
4/8/2015,4187.61
4/9/2015,4178.07
4/10/2015,4186.16
4/13/2015,4168.14
4/14/2015,4165.96
4/15/2015,4159.75
4/16/2015,4154.85
4/17/2015,4108.23
4/20/2015,4122.92
4/21/2015,4114.88
4/22/2015,4109.29
4/23/2015,4101.38
4/24/2015,4109.68
4/27/2015,4095.35
4/28/2015,4094.38
4/29/2015,4044.88
4/30/2015,4009.6
5/1/2015,4044.89
5/4/2015,4061.74
5/5/2015,4022.81
5/6/2015,4016.48
5/7/2015,4013.79
5/8/2015,4030.02
5/11/2015,4058.85
