date,industrials
6/28/2013,369.95
7/1/2013,373.24
7/2/2013,369.23
7/3/2013,369.68
7/5/2013,375.23
7/8/2013,376.35
7/9/2013,381.81
7/10/2013,381.5
7/11/2013,387.51
7/12/2013,385.27
7/15/2013,386.31
7/16/2013,384.21
7/17/2013,385.48
7/18/2013,388.81
7/19/2013,393.64
7/22/2013,393.83
7/23/2013,393.58
7/24/2013,390.86
7/25/2013,390.85
7/26/2013,389.88
7/29/2013,388.57
7/30/2013,390.02
7/31/2013,390.68
8/1/2013,397.38
8/2/2013,398.23
8/5/2013,396.73
8/6/2013,393.71
8/7/2013,392.89
8/8/2013,394.56
8/9/2013,393.43
8/12/2013,393.73
8/13/2013,395.4
8/14/2013,392.43
8/15/2013,388
8/16/2013,388.39
8/19/2013,386.7
8/20/2013,386.78
8/21/2013,384.27
8/22/2013,389.15
8/23/2013,389.52
8/26/2013,388.27
8/27/2013,380.54
8/28/2013,380.78
8/29/2013,381.59
8/30/2013,379.9
9/3/2013,381.9
9/4/2013,385.55
9/5/2013,386.62
9/6/2013,386.29
9/9/2013,390.98
9/10/2013,396.59
9/11/2013,398.59
9/12/2013,396.75
9/13/2013,397.69
9/16/2013,402.73
9/17/2013,405.06
9/18/2013,410.25
9/19/2013,410.81
9/20/2013,405.2
9/23/2013,404.63
9/24/2013,405.9
9/25/2013,404.31
9/26/2013,405.75
9/27/2013,403.21
9/30/2013,400.7
10/1/2013,403.59
10/2/2013,402.15
10/3/2013,397.69
10/4/2013,399.55
10/7/2013,397.38
10/8/2013,392.74
10/9/2013,392.07
10/10/2013,402.57
10/11/2013,404.84
10/14/2013,405.76
10/15/2013,401.99
10/16/2013,404.59
10/17/2013,407.99
10/18/2013,412.58
10/21/2013,414.16
10/22/2013,416.53
10/23/2013,416.56
10/24/2013,419.64
10/25/2013,421.71
10/28/2013,421.33
10/29/2013,422.71
10/30/2013,421.02
10/31/2013,420.92
11/1/2013,424.07
11/4/2013,425.5
11/5/2013,424.92
11/6/2013,426.56
11/7/2013,421.77
11/8/2013,427.59
11/11/2013,427.46
11/12/2013,427.57
11/13/2013,429.73
11/14/2013,431.4
11/15/2013,432.84
11/18/2013,433.53
11/19/2013,430.66
11/20/2013,428.41
11/21/2013,431.73
11/22/2013,435.21
11/25/2013,433.54
11/26/2013,434.81
11/27/2013,436.62
11/29/2013,434.91
12/2/2013,432.87
12/3/2013,429.85
12/4/2013,428.27
12/5/2013,428.27
12/6/2013,434.52
12/9/2013,435.67
12/10/2013,434.63
12/11/2013,428.04
12/12/2013,428.26
12/13/2013,429.86
12/16/2013,434.05
12/17/2013,433.89
12/18/2013,440.92
12/19/2013,440.68
12/20/2013,443.88
12/23/2013,445.49
12/24/2013,447.89
12/26/2013,450.97
12/27/2013,450.5
12/30/2013,450.34
12/31/2013,452.46
1/2/2014,446.64
1/3/2014,447.85
1/6/2014,445.17
1/7/2014,447.34
1/8/2014,446.96
1/9/2014,448.58
1/10/2014,449.33
1/13/2014,444.25
1/14/2014,448.82
1/15/2014,451.93
1/16/2014,450.47
1/17/2014,448.04
1/21/2014,448.15
1/22/2014,449.16
1/23/2014,444
1/24/2014,430.21
1/27/2014,431.16
1/28/2014,434.91
1/29/2014,430.41
1/30/2014,434.13
1/31/2014,431.97
2/3/2014,420.34
2/4/2014,423
2/5/2014,422.55
2/6/2014,428.43
2/7/2014,435.46
2/10/2014,433.06
2/11/2014,438
2/12/2014,438.95
2/13/2014,439.9
2/14/2014,443.12
2/18/2014,442.12
2/19/2014,438.23
2/20/2014,441.62
2/21/2014,441.6
2/24/2014,445.15
2/25/2014,443.18
2/26/2014,443.41
2/27/2014,445.96
2/28/2014,447.16
3/3/2014,444.04
3/4/2014,450.81
3/5/2014,451.63
3/6/2014,454.16
3/7/2014,455.3
3/10/2014,452.98
3/11/2014,449.9
3/12/2014,448.97
3/13/2014,442.33
3/14/2014,440.65
3/17/2014,446.32
3/18/2014,448.55
3/19/2014,444.18
3/20/2014,444.89
3/21/2014,445.27
3/24/2014,443.83
3/25/2014,447.68
3/26/2014,443.49
3/27/2014,442.82
3/28/2014,446.1
3/31/2014,450.69
4/1/2014,453.92
4/2/2014,456.87
4/3/2014,457.64
4/4/2014,452.5
4/7/2014,446.49
4/8/2014,446.46
4/9/2014,452.06
4/10/2014,443.51
4/11/2014,439.05
4/14/2014,441.74
4/15/2014,444.41
4/16/2014,451.23
