date,metals
6/28/2013,192.41
7/1/2013,195.04
7/2/2013,187.85
7/3/2013,189.5
7/5/2013,183.29
7/8/2013,181.46
7/9/2013,183.32
7/10/2013,182.43
7/11/2013,194.22
7/12/2013,190.21
7/15/2013,190.08
7/16/2013,197.32
7/17/2013,193.5
7/18/2013,193.12
7/19/2013,199.52
7/22/2013,208.72
7/23/2013,214.74
7/24/2013,205.11
7/25/2013,205.96
7/26/2013,208.64
7/29/2013,206.73
7/30/2013,204.82
7/31/2013,204.54
8/1/2013,202.55
8/2/2013,199.57
8/5/2013,198.14
8/6/2013,190.46
8/7/2013,189.95
8/8/2013,203.61
8/9/2013,208
8/12/2013,215.68
8/13/2013,210.71
8/14/2013,219.18
8/15/2013,228.33
8/16/2013,224.92
8/19/2013,221.57
8/20/2013,226.79
8/21/2013,218.48
8/22/2013,222.16
8/23/2013,226.94
8/26/2013,227.91
8/27/2013,219.72
8/28/2013,215.88
8/29/2013,217.39
8/30/2013,214.76
9/3/2013,217.72
9/4/2013,218.31
9/5/2013,212.64
9/6/2013,215.35
9/9/2013,215.79
9/10/2013,209.1
9/11/2013,212.26
9/12/2013,204.47
9/13/2013,205.54
9/16/2013,205.75
9/17/2013,208.24
9/18/2013,223.12
9/19/2013,217.49
9/20/2013,207.71
9/23/2013,206.02
9/24/2013,206.07
9/25/2013,208.58
9/26/2013,206.73
9/27/2013,205.89
9/30/2013,205.82
10/1/2013,201.58
10/2/2013,203.91
10/3/2013,201.06
10/4/2013,202.05
10/7/2013,203.68
10/8/2013,198.55
10/9/2013,198.91
10/10/2013,199.1
10/11/2013,196.11
10/14/2013,197.6
10/15/2013,201.06
10/16/2013,199.33
10/17/2013,207.18
10/18/2013,206.79
10/21/2013,209.86
10/22/2013,219.2
10/23/2013,215.15
10/24/2013,222.29
10/25/2013,223.33
10/28/2013,224.74
10/29/2013,221.27
10/30/2013,222.93
10/31/2013,215.68
11/1/2013,209.23
11/4/2013,214.4
11/5/2013,212.7
11/6/2013,214.65
11/7/2013,210.13
11/8/2013,212.42
11/11/2013,211.88
11/12/2013,207.8
11/13/2013,209.51
11/14/2013,212.86
11/15/2013,211.71
11/18/2013,208.53
11/19/2013,208.94
11/20/2013,203.85
11/21/2013,201.65
11/22/2013,199.83
11/25/2013,198.46
11/26/2013,194.85
11/27/2013,194.42
11/29/2013,196.16
12/2/2013,188.5
12/3/2013,186.69
12/4/2013,189.79
12/5/2013,185.99
12/6/2013,185.87
12/9/2013,188.92
12/10/2013,194.76
12/11/2013,189.73
12/12/2013,188.43
12/13/2013,189.03
12/16/2013,190.99
12/17/2013,191.14
12/18/2013,190.18
12/19/2013,187.9
12/20/2013,188.62
12/23/2013,189.02
12/24/2013,193.92
12/26/2013,195
12/27/2013,197.3
12/30/2013,194.39
12/31/2013,197.59
1/2/2014,202.66
1/3/2014,200.77
1/6/2014,200.69
1/7/2014,199.7
1/8/2014,196.71
1/9/2014,194.53
1/10/2014,199.63
1/13/2014,200.48
1/14/2014,198.25
1/15/2014,200.62
1/16/2014,202.52
1/17/2014,205.39
1/21/2014,206.69
1/22/2014,202.36
1/23/2014,205.78
1/24/2014,203.57
1/27/2014,198.62
1/28/2014,201.56
1/29/2014,205.3
1/30/2014,201.83
1/31/2014,201.58
2/3/2014,198.76
2/4/2014,198.78
2/5/2014,197.17
2/6/2014,198.14
2/7/2014,203.31
2/10/2014,206.81
2/11/2014,212.91
2/12/2014,208.37
2/13/2014,215.29
2/14/2014,219.11
2/18/2014,220.09
2/19/2014,214.44
2/20/2014,221.93
2/21/2014,220.45
2/24/2014,221.32
2/25/2014,218.64
2/26/2014,217.85
2/27/2014,217.91
2/28/2014,214.9
3/3/2014,217.56
3/4/2014,217.89
3/5/2014,220.75
3/6/2014,222.59
3/7/2014,216.37
3/10/2014,213.71
3/11/2014,213.29
3/12/2014,217.86
3/13/2014,221.08
3/14/2014,223.55
3/17/2014,220.41
3/18/2014,218.83
3/19/2014,211.93
3/20/2014,212.37
3/21/2014,214.66
3/24/2014,206.74
3/25/2014,208.47
3/26/2014,202.17
3/27/2014,204.87
3/28/2014,208.13
3/31/2014,204.85
4/1/2014,205.13
4/2/2014,209.58
4/3/2014,208.2
4/4/2014,209.1
4/7/2014,208.63
4/8/2014,213.76
4/9/2014,214.99
4/10/2014,211.09
4/11/2014,208.06
4/14/2014,211.41
4/15/2014,207.92
4/16/2014,206.3
4/17/2014,204.85
4/21/2014,204.56
4/22/2014,206.63
4/23/2014,210.19
4/24/2014,208.9
4/25/2014,212.53
4/28/2014,208.82
4/29/2014,211.76
4/30/2014,210.7
5/1/2014,208.25
5/2/2014,212.36
5/5/2014,211.79
5/6/2014,210.66
5/7/2014,208.24
5/8/2014,207.52
5/9/2014,207.18
5/12/2014,210.57
5/13/2014,210.83
5/14/2014,211.84
5/15/2014,209.01
5/16/2014,207.25
5/19/2014,207.05
5/20/2014,205.92
5/21/2014,206.25
5/22/2014,205.74
5/23/2014,205.25
5/27/2014,198.83
5/28/2014,196.34
5/29/2014,198.05
5/30/2014,199.11
6/2/2014,197.69
6/3/2014,197.74
6/4/2014,198.34
6/5/2014,200.82
6/6/2014,200.55
6/9/2014,199.53
6/10/2014,201.74
6/11/2014,202.76
6/12/2014,204.81
6/13/2014,206.29
6/16/2014,205.52
6/17/2014,206.71
6/18/2014,211.57
6/19/2014,217.9
6/20/2014,217.78
6/23/2014,222.84
6/24/2014,218.27
6/25/2014,219.47
6/26/2014,220.73
6/27/2014,221.65
6/30/2014,224.96
7/1/2014,224.34
7/2/2014,227.83
7/3/2014,228.36
7/7/2014,226.53
7/8/2014,229.19
7/9/2014,233.44
7/10/2014,230.73
7/11/2014,234.85
7/14/2014,230.94
7/15/2014,225.78
7/16/2014,230.03
7/17/2014,233.03
7/18/2014,232.38
7/21/2014,232.57
7/22/2014,231.02
7/23/2014,230.01
7/24/2014,225.96
7/25/2014,230.68
7/28/2014,232.01
7/29/2014,230.63
7/30/2014,229.14
7/31/2014,223.58
8/1/2014,223.92
8/4/2014,224.27
8/5/2014,224.58
8/6/2014,227.23
8/7/2014,226.63
8/8/2014,227.7
8/11/2014,229.55
8/12/2014,232.13
8/13/2014,231.57
8/14/2014,230.11
8/15/2014,228.46
8/18/2014,229.38
8/19/2014,227.9
8/20/2014,228.89
8/21/2014,224.88
8/22/2014,223.53
8/25/2014,221.52
8/26/2014,224.45
8/27/2014,224.23
8/28/2014,225.51
8/29/2014,227.87
9/2/2014,220.46
9/3/2014,219.5
9/4/2014,214.15
9/5/2014,214.1
9/8/2014,209.8
9/9/2014,210.78
9/10/2014,207.96
9/11/2014,209.27
9/12/2014,206.55
9/15/2014,206.84
9/16/2014,208.47
9/17/2014,204.63
9/18/2014,202.02
9/19/2014,198.64
9/22/2014,193.96
9/23/2014,195.79
9/24/2014,194.82
9/25/2014,194
9/26/2014,192.89
9/29/2014,190.68
9/30/2014,188.61
10/1/2014,187.9
10/2/2014,189.33
10/3/2014,184.11
10/6/2014,186.83
10/7/2014,181.1
10/8/2014,190.93
10/9/2014,184.17
10/10/2014,180.72
10/13/2014,182.86
10/14/2014,184.21
10/15/2014,182.32
10/16/2014,183.33
10/17/2014,179.14
10/20/2014,182.42
10/21/2014,183.65
10/22/2014,178.59
10/23/2014,178.87
10/24/2014,178.08
10/27/2014,175.2
10/28/2014,175.54
